ds,city,PM2_5,PM10,AQI,n_stations,temp_c,humidity_pct,wind_speed_ms,wind_dir_deg,pressure_hpa,dust_risk_score,weather_desc,PM2_5_lag1h,PM10_lag1h,PM2_5_roll3h,PM2_5_roll24h,PM2_5_delta,alert_pm25,alert_pm10,alert
2026-05-11 13:00:00+00:00,Delhi,115.7,236.0,231.4,3,35.6,29.8,0.5,87,1007.2975891291525,0.8,haze,,,115.7,,,RED,RED,RED
2026-05-11 14:00:00+00:00,Delhi,100.2,182.7,200.5,3,34.5,32.7,0.5,276,1008.3539838370305,0.782,haze,115.7,236.0,107.95,,-15.5,RED,RED,RED
2026-05-11 15:00:00+00:00,Delhi,153.8,278.2,307.5,3,35.2,27.1,0.5,187,1009.8103236751144,0.807,haze,100.2,182.7,123.23333333333335,123.23333333333335,53.60000000000001,RED,RED,RED
2026-05-11 16:00:00+00:00,Delhi,90.7,170.5,181.4,3,29.9,45.2,0.5,306,1009.1826990656388,0.703,haze,153.8,278.2,114.90000000000002,115.10000000000001,-63.10000000000001,RED,RED,RED
2026-05-11 17:00:00+00:00,Delhi,126.3,275.0,252.6,3,32.0,35.0,0.5,339,1011.3582708346855,0.755,haze,90.7,170.5,123.60000000000001,117.34,35.599999999999994,RED,RED,RED
2026-05-11 18:00:00+00:00,Delhi,91.2,194.6,182.5,3,26.9,43.8,0.5,1,1004.5236892742248,0.686,haze,126.3,275.0,102.73333333333333,112.98333333333333,-35.099999999999994,RED,RED,RED
2026-05-11 19:00:00+00:00,Delhi,69.1,125.3,138.3,3,25.6,48.4,1.26,269,1011.6026783158486,0.622,clear sky,91.2,194.6,95.53333333333335,106.71428571428571,-22.10000000000001,RED,RED,RED
2026-05-11 20:00:00+00:00,Delhi,69.1,138.7,138.2,3,25.2,53.3,2.21,216,1012.9253133480422,0.554,clear sky,69.1,125.3,76.46666666666665,102.0125,0.0,RED,RED,RED
2026-05-11 21:00:00+00:00,Delhi,76.5,162.3,153.1,3,20.6,53.6,0.5,138,1009.8350288665226,0.637,clear sky,69.1,138.7,71.56666666666666,99.17777777777778,7.400000000000006,RED,RED,RED
2026-05-11 22:00:00+00:00,Delhi,77.8,158.8,155.5,3,20.2,58.6,6.16,200,1009.7911339385372,0.337,clear sky,76.5,162.3,74.46666666666665,97.03999999999999,1.2999999999999972,RED,RED,RED
2026-05-11 23:00:00+00:00,Delhi,61.0,117.4,122.1,3,21.4,63.0,2.54,34,1005.3053761816329,0.503,clear sky,77.8,158.8,71.76666666666667,93.76363636363637,-16.799999999999997,RED,RED,RED
2026-05-12 00:00:00+00:00,Delhi,66.7,140.4,133.4,3,19.9,64.5,1.7,206,1009.01454375598,0.539,clear sky,61.0,117.4,68.5,91.50833333333333,5.700000000000003,RED,RED,RED
2026-05-12 01:00:00+00:00,Delhi,75.1,136.1,150.2,3,20.2,55.2,1.78,221,1011.1274748520183,0.568,clear sky,66.7,140.4,67.60000000000001,90.24615384615385,8.399999999999991,RED,RED,RED
2026-05-12 02:00:00+00:00,Delhi,85.1,160.0,170.1,3,20.0,58.4,2.97,283,1009.8242689860028,0.497,haze,75.1,136.1,75.63333333333333,89.87857142857142,10.0,RED,RED,RED
